"selfcensor","adminclear","admincontr","worryrep","worryjob","fa_insult","fa_offen","fa_teach","fa_emot","fa_unrest","scotus_harass","obama_harass","priority","direction","studentcon","facoffen","facquote","faccomf","train_knowl","train_norms","train_prac","train_phil","train_skill","train_const","train_rule","train_disag","train_engage","sup_session","sup_acadpol","sup_exprpol","sup_event","judgeideo","judgeT14","judgeview","judgeteach","spmargin","spdiff","deihire","deitenure","polclimate","polhide","hirecons","hirelib","mentorcons","mentorlib","clerkcons","clerklib","fitlib","fitcons","col_hirecons","col_hirelib","col_mentorcons","col_mentorlib","col_clerkcons","col_clerklib","educontext","FLDF","Position","Area","Degree_1","Degree_2","Degree_3","Degree_4","Degree_5","Gender","Race","Ideo","ideobin","Party","age_5cat","Religion","Religion2"
"Never","Very clear","Somewhat likely","Not too worried","Not at all worried","No protection","Complete protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Neither acceptable nor unacceptable","Completely acceptable","Very comfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is never justifiable","Somewhat supportive","Rarely","Sometimes","Never","Rarely","Rarely","Rarely","Never","Very poor fit","Somewhat poor fit","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Emeriti","Criminal law","J.D.",,,,,"Male","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Jewish",
"Very often, nearly every day","Not very clear","Not very likely","Not too worried","Slightly worried","Some protection","Some protection","Complete protection","Some protection","Complete protection","Definitely too narrow","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat support this","Somewhat unjustified","Somewhat justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Neither oppose nor support","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Occasionally, once or twice a month","Always","Always","Rarely","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Neither / don’t know","Never heard of it","Full Professor","Civil procedure","J.D.",,,,,"Female","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Mainline Protestant",
"Occasionally","Somewhat clear","Not very likely","Somewhat worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Right track","Often","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is often justifiable","This is often justifiable","Very supportive","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very positive fit","Somewhat poor fit","Always","Rarely","Often","Rarely","Often","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Emeriti","Health law","J.D.","Professional doctorate other than J.D. (e.g., MD, DDS, AuD, PharmD)",,,,"Female","White or Caucasian","Slightly liberal","liberal","Lean Democrat","65+","Roman Catholic",
"Occasionally","Very clear","Not very likely","Slightly worried","Not too worried","Minimal protection","Some protection","Complete protection","Minimal protection","Some protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority",,"Often","Neither acceptable nor unacceptable","Mostly acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Neither oppose nor support","Neither oppose nor support","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Never","Sometimes","Rarely","Rarely","Sometimes","Never","Never","Neither poor nor positive fit","Somewhat positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","Never heard of it","Associate Professor","Criminal law","J.D.",,,,,"Other / decline to state","White or Caucasian","Moderate, middle-of-the-road","moderate","Lean Democrat",,"Mainline Protestant",
"Very often, nearly every day","Not very clear","Somewhat likely","Very worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Sometimes","Neither acceptable nor unacceptable","Mostly acceptable","Somewhat uncomfortable","Somewhat important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat oppose this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile",,"Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Always","Never","Sometimes","Never","Sometimes","Never","Neither / don’t know","Somewhat familiar",,,,,,,,"Male",,,,,,,
"Never","Extremely clear","Extremely likely","Not too worried","Not too worried","Minimal protection","Some protection","Complete protection","Minimal protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority",,"Often","Completely acceptable","Completely acceptable","Somewhat comfortable","Very important","Neither important nor unimportant","Very important","Very important","Very important","Neither important nor unimportant","Neither important nor unimportant","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Never","Never","Never","Never","Never","Never","Neither / don’t know","Never heard of it","Adjunct / Lecturer","Other","J.D.",,,,,"Female","White or Caucasian","Moderate, middle-of-the-road","moderate","Lean Democrat","55-64","Nothing in Particular",
"Occasionally","Very clear","Not very likely","Slightly worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Some protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Somewhat support this position","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Never","Sometimes","Rarely","Often","Rarely","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Adjunct / Lecturer",,"J.D.",,,,,"Female","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent","65+","Roman Catholic",
"Rarely","Very clear","Not very likely","Not too worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Wrong direction","Sometimes","Mostly unacceptable","Completely acceptable","Neither comfortable nor uncomfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Somewhat support this","Neither oppose nor support","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Very supportive","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Somewhat positive fit","Neither poor nor positive fit","Rarely","Rarely","Rarely","Rarely","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Health law","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Mainline Protestant",
"Occasionally","Not at all clear","Not very likely","Very worried","Somewhat worried","No protection","Some protection","Complete protection","Complete protection","Minimal protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Neither important nor unimportant","Somewhat important","Somewhat important","Very important","Very important","Very important","Somewhat important","Somewhat important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is rarely justifiable","This is rarely justifiable","Somewhat supportive","Occasionally, once or twice a month","Rarely","Rarely","Never","Never","Never","Never","Somewhat positive fit","Neither poor nor positive fit","Rarely","Sometimes","Rarely","Never","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Full Professor","Civil procedure","J.D.",,"LLM or Masters",,,"Female","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Atheist",
"Never","Very clear","Not very likely","Slightly worried","Not at all worried","Minimal protection","Some protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression",,"Sometimes","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Somewhat support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Very familiar","Chaired or Distinguished Professor","Constitutional law","J.D.",,"LLM or Masters",,,"Male","Not listed above (please specify)","Liberal","liberal","Lean Democrat","55-64","Jewish",
"Fairly often, a couple times a week","Somewhat clear","Somewhat likely","Slightly worried","Not too worried","Minimal protection","Don’t know / uncertain","Don’t know / uncertain","Don’t know / uncertain","Don’t know / uncertain","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Neither acceptable nor unacceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Neither justified nor unjustified","Judges are mostly politically motivated.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Rarely","Never","Never","Never","Never","Never","Very positive fit","Neither poor nor positive fit","Rarely","Rarely","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Emeriti",,"J.D.",,,,,"Female","Hispanic or Latin American","Liberal","liberal","Strong Democrat",,"Jewish",
"Rarely","Somewhat clear","Very likely","Somewhat worried","Slightly worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Definitely too broad","Definitely too narrow","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat important","Strongly support this","Neither oppose nor support","Neither oppose nor support","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically motivated.","Judges are mostly politically motivated.","Strongly support this position","Strongly oppose this position","This is never justifiable","This is never justifiable","Very hostile","Fairly often, a couple times a week","Often","Often","Often","Often","Never","Never","Very positive fit","Somewhat poor fit","Often","Rarely","Often","Never","Never","Often","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Professor of Practice","Tort law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Roman Catholic",
"Rarely","Extremely clear","Not very likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly unacceptable","Mostly unacceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Neither oppose nor support","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very positive fit","Somewhat positive fit","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Associate Professor","International / comparative law","J.D.",,"LLM or Masters",,,"Female","Middle Eastern/North African","Very liberal","liberal","Independent","45-54","Muslim",
"Never","Not very clear","Not very likely","Not at all worried","Not at all worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Definitely too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly oppose this","Strongly oppose this","Strongly oppose this","Strongly oppose this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly oppose this position","Strongly oppose this position","This is rarely justifiable","This is never justifiable","Somewhat supportive","Never","Sometimes","Never","Never","Never","Never","Never","Very positive fit","Somewhat positive fit","Sometimes","Rarely","Rarely","Rarely","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Full Professor","Business law / business organizations / commercial litigation","J.D.",,,,,"Male","White or Caucasian","Conservative","conservative","Strong Republican","65+","Mainline Protestant",
"Rarely","Very clear","Not at all likely","Slightly worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Definitely too broad","Protecting free expression","Right track","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Never","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Very familiar","Adjunct / Lecturer","Business law / business organizations / commercial litigation","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Slightly conservative","conservative","Independent","65+","Nothing in Particular",
"Fairly often, a couple times a week","Not at all clear","Somewhat likely","Somewhat worried","Somewhat worried","Minimal protection","Complete protection","Complete protection","Don’t know / uncertain","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Justified","Justified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Somewhat support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Very positive fit","Very poor fit","Often","Never","Often","Never","Often","Never","Neither / don’t know","Never heard of it","Adjunct / Lecturer","Environmental law","J.D.",,,,,"Other / decline to state","White or Caucasian","Slightly conservative","conservative","Lean Republican","65+","Roman Catholic",
"Rarely","Very clear","Not at all likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Wrong direction","Always","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Somewhat support this","Unjustified","Unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very supportive","Rarely","Rarely","Never","Never","Never","Never","Never","Neither poor nor positive fit","Very positive fit","Never","Sometimes","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Full Professor","Administrative / education law","J.D.",,,,,"Female","White or Caucasian","Something else (please specify)",,"Independent","45-54","Roman Catholic",
"Rarely","Somewhat clear","Not very likely","Not too worried","Not too worried","Minimal protection","Some protection","Some protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion","Right track","Sometimes","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Neither oppose nor support","Justified","Justified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Very supportive","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Rarely","Rarely","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Assistant Professor","Other","J.D.",,,,,"Female","White or Caucasian","Liberal","liberal","Lean Democrat","35-44","Something else","None of these"
"Rarely","Somewhat clear","Somewhat likely","Slightly worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion",,"Always","Neither acceptable nor unacceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly oppose this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Don’t know / unsure.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Rarely","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit",,,,,,,"Neither / don’t know","Never heard of it","Associate Professor","Legal ethics","J.D.",,,,,"Male","White or Caucasian","Very liberal","liberal","Something else (please specify)","55-64","Agnostic",
"Rarely","Extremely clear","Not at all likely","Slightly worried","Not at all worried","Don’t know / uncertain","Don’t know / uncertain","Don’t know / uncertain","Don’t know / uncertain","Don’t know / uncertain","Probably too broad","Definitely too broad","Protecting free expression","Wrong direction","Often","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Somewhat support this","Strongly support this","Justified","Justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Very supportive","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very positive fit","Often","Rarely","Rarely","Never","Rarely","Never","Neither / don’t know","Somewhat familiar","Full Professor","Other","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Very conservative","conservative","Independent","45-54","Evangelical Protestant",
"Rarely","Extremely clear","Somewhat likely","Not too worried","Not at all worried","Don’t know / uncertain","Complete protection","Complete protection","Don’t know / uncertain","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Mostly acceptable","Neither comfortable nor uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very positive fit","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Civil procedure","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Independent","65+","Roman Catholic",
"Rarely","Somewhat clear","Not very likely","Slightly worried","Slightly worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly unacceptable","Mostly acceptable","Somewhat uncomfortable","Very important","Very important","Neither important nor unimportant","Very important","Very important","Somewhat important","Very important","Very important","Somewhat important","Strongly support this","Strongly support this","Strongly support this","Neither oppose nor support","Extremely unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat support this position","This is sometimes justifiable","This is sometimes justifiable","Somewhat supportive","Occasionally, once or twice a month","Rarely","Rarely","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Rarely","Sometimes","Never","Never","Never","Never","Neither / don’t know","Very familiar","Chaired or Distinguished Professor","Immigration law","J.D.",,,,,"Male","Hispanic or Latin American","Very liberal","liberal","Strong Democrat","45-54","Buddhist",
"Occasionally","Not at all clear","Extremely likely","Very worried","Somewhat worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important",,"Very important","Very important","Very important","Very important","Very important","Very important","Neither important nor unimportant","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Justified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Strongly support this position","Somewhat support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Rarely","Always","Sometimes","Always","Sometimes","Never","Never","Somewhat positive fit","Neither poor nor positive fit","Sometimes","Sometimes",,,,,,"Somewhat familiar","Full Professor",,"J.D.",,"LLM or Masters",,,"Male","Hispanic or Latin American","Very liberal","liberal",,"55-64","Nothing in Particular",
"Never","Very clear","Not at all likely","Not too worried","Not at all worried","Minimal protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Strongly support this position","This is rarely justifiable","This is sometimes justifiable","Very supportive","Never","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Very positive fit","Very positive fit","Never","Never","Rarely","Rarely","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Emeriti","Property law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very liberal","liberal","Strong Democrat","65+","Nothing in Particular",
"Occasionally","Somewhat clear","Somewhat likely","Somewhat worried","Somewhat worried","Minimal protection","Some protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Wrong direction","Often","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Neither important nor unimportant","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Somewhat support this","Somewhat justified","Somewhat justified","Judges are mostly politically motivated.","Judges are mostly politically motivated.","Somewhat support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Occasionally, once or twice a month","Never","Never","Never","Never","Never","Never","Very positive fit","Very poor fit","Never","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Adjunct / Lecturer","Criminal law","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Lean Democrat","45-54","Agnostic",
"Rarely","Somewhat clear","Not very likely","Not too worried","Not at all worried","No protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly unacceptable","Neither acceptable nor unacceptable","Somewhat comfortable","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat important","Strongly support this","Strongly support this","Strongly support this","Somewhat support this","Somewhat unjustified","Somewhat justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat support this position","This is often justifiable","This is often justifiable","Very supportive","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Neither poor nor positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Adjunct / Lecturer","Constitutional law","J.D.",,"LLM or Masters",,,"Female","White or Caucasian","Very liberal","liberal","Strong Democrat","55-64","Nothing in Particular",
"Never","Extremely clear","Somewhat likely","Not at all worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Don’t know / uncertain","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Neither acceptable nor unacceptable","Completely acceptable","Neither comfortable nor uncomfortable","Very important","Very important","Very important","Neither important nor unimportant","Very important",,"Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Never","Never","Never","Never","Never","Never","Neither / don’t know","Never heard of it","Full Professor","Copyright / trademark / intellectual property law","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Strong Democrat","65+","Jewish",
